2026-05-11 14:18:26.665 [restartedMain] DEBUG c.H.config.AuthenticationFilter - Filter 'authenticationFilter' configured for use
2026-05-11 14:19:06.717 [http-nio-8081-exec-7] INFO  c.H.service.AuthService - Attempting authentication for user with email: Selva@clinicflow.com
2026-05-11 14:19:07.968 [http-nio-8081-exec-7] WARN  c.H.service.AuthService - Authentication failed: Invalid credentials for email: Selva@clinicflow.com
2026-05-11 14:20:47.295 [http-nio-8081-exec-8] INFO  c.H.service.AuthService - Attempting authentication for user with email: admin@hospital.com
2026-05-11 14:20:47.351 [http-nio-8081-exec-8] WARN  c.H.service.AuthService - Authentication failed: Invalid credentials for email: admin@hospital.com
2026-05-11 14:20:49.563 [http-nio-8081-exec-10] INFO  c.H.service.AuthService - Attempting authentication for user with email: admin@hospital.com
2026-05-11 14:20:49.565 [http-nio-8081-exec-10] WARN  c.H.service.AuthService - Authentication failed: Invalid credentials for email: admin@hospital.com
2026-05-11 14:21:40.643 [http-nio-8081-exec-2] INFO  c.H.service.AuthService - Attempting authentication for user with email: admin@hospital.com
2026-05-11 14:21:40.646 [http-nio-8081-exec-2] WARN  c.H.service.AuthService - Authentication failed: Invalid credentials for email: admin@hospital.com
2026-05-11 14:21:55.838 [http-nio-8081-exec-4] INFO  c.H.service.AuthService - Attempting authentication for user with email: admin@hospital.com
2026-05-11 14:21:55.846 [http-nio-8081-exec-4] WARN  c.H.service.AuthService - Authentication failed: Invalid credentials for email: admin@hospital.com
2026-05-11 14:24:09.529 [http-nio-8081-exec-7] INFO  c.H.service.AuthService - Attempting authentication for user with email: admin@clinicflow.com
2026-05-11 14:24:10.055 [http-nio-8081-exec-7] INFO  c.H.service.AuthService - User authenticated successfully - Email: admin@clinicflow.com, Role: ADMIN
2026-05-11 14:25:43.517 [http-nio-8081-exec-3] INFO  c.H.service.AuthService - Attempting authentication for user with email: Selva@clinicflow.com
2026-05-11 14:25:43.651 [http-nio-8081-exec-3] INFO  c.H.service.AuthService - User authenticated successfully - Email: Selva@clinicflow.com, Role: CLINICIAN
2026-05-11 14:28:59.550 [http-nio-8081-exec-1] INFO  c.H.service.AuthService - Attempting authentication for user with email: admin@clinicflow.com
2026-05-11 14:29:00.045 [http-nio-8081-exec-1] INFO  c.H.service.AuthService - User authenticated successfully - Email: admin@clinicflow.com, Role: ADMIN
2026-05-11 14:30:06.773 [http-nio-8081-exec-4] INFO  c.H.service.AuthService - Attempting authentication for user with email: Selva@clinicflow.com
2026-05-11 14:30:06.911 [http-nio-8081-exec-4] INFO  c.H.service.AuthService - User authenticated successfully - Email: Selva@clinicflow.com, Role: CLINICIAN
2026-05-11 15:03:49.612 [restartedMain] DEBUG c.H.config.AuthenticationFilter - Filter 'authenticationFilter' configured for use
2026-05-11 19:39:41.722 [http-nio-8081-exec-4] INFO  c.H.service.AuthService - Attempting authentication for user with email: Selva@clinicflow.com
2026-05-11 19:39:43.185 [http-nio-8081-exec-4] INFO  c.H.service.AuthService - User authenticated successfully - Email: Selva@clinicflow.com, Role: CLINICIAN
